test_id,sample_idx,input_real,input_imag,output_real,output_imag
0,0,10426,0,-11210,0
0,1,10426,0,16442,0
0,2,10426,0,-17090,0
0,3,10426,0,-11579,0
0,4,10426,0,-6164,0
0,5,10426,0,2395,0
0,6,10426,0,-1917,0
0,7,10426,0,-98,0
1,0,29491,0,-9476,0
1,1,0,0,-10452,0
1,2,0,0,-10879,0
1,3,0,0,-10839,0
1,4,0,0,-10839,0
1,5,0,0,-10879,0
1,6,0,0,-10452,0
1,7,0,0,-9476,0
2,0,10426,0,-98,0
2,1,-10426,0,-1917,0
2,2,10426,0,2395,0
2,3,-10426,0,-6164,0
2,4,10426,0,-11579,0
2,5,-10426,0,-17090,0
2,6,10426,0,16442,0
2,7,-10426,0,-11210,0
3,0,10426,0,314,3326
3,1,7372,7372,-3925,-5159
3,2,0,10426,-4333,3413
3,3,-7372,7372,5141,-13862
3,4,-10426,0,-4569,511
3,5,-7372,-7372,2201,12478
3,6,0,-10426,-9698,3789
3,7,7372,-7372,-15947,-4791
4,0,10426,0,7885,4619
4,1,0,10426,-8422,8741
4,2,-10426,0,-5905,7748
4,3,0,-10426,-7030,-7720
4,4,10426,0,-7030,7719
4,5,0,10426,-5905,-7749
4,6,-10426,0,-8422,-8742
4,7,0,-10426,7885,-4620
5,0,10426,0,-15947,4790
5,1,-7372,7372,-9698,-3790
5,2,0,-10426,2201,-12479
5,3,7372,7372,-4569,-512
5,4,-10426,0,5141,13861
5,5,7372,-7372,-4333,-3414
5,6,0,10426,-3925,5158
5,7,-7372,-7372,314,-3327
6,0,13690,0,3395,4877
6,1,6776,10883,-6925,-1298
6,2,-4107,9583,-6308,6189
6,3,-6776,2669,1957,-15783
6,4,-5476,0,-6969,3511
6,5,-6776,-2669,-303,8417
6,6,-4107,-9583,-12231,39
6,7,6776,-10883,-11551,-6223
7,0,-15927,0,-2986,0
7,1,-11376,0,12344,0
7,2,-6825,0,-1738,0
7,3,-2275,0,22231,0
7,4,2275,0,-1071,0
7,5,6825,0,-1913,0
7,6,11376,0,4922,0
7,7,15927,0,13491,0
8,0,10426,0,11740,-2369
8,1,9633,3990,3192,9404
8,2,0,10426,-10895,-2490
8,3,-9633,-3990,-1606,1707
8,4,10426,0,-14295,-3549
8,5,-9633,-3990,-2358,1046
8,6,0,10426,-4351,6279
8,7,9633,3990,-9509,-11171
9,0,0,0,0,0
9,1,0,0,0,0
9,2,0,0,0,0
9,3,0,0,0,0
9,4,0,0,0,0
9,5,0,0,0,0
9,6,0,0,0,0
9,7,0,0,0,0
10,0,10426,0,-11210,0
10,1,10426,0,16442,0
10,2,10426,0,-17090,0
10,3,10426,0,-11579,0
10,4,10426,0,-6164,0
10,5,10426,0,2395,0
10,6,10426,0,-1917,0
10,7,10426,0,-98,0
11,0,-10426,0,11209,0
11,1,-10426,0,-16443,0
11,2,-10426,0,17089,0
11,3,-10426,0,11578,0
11,4,-10426,0,6163,0
11,5,-10426,0,-2396,0
11,6,-10426,0,1916,0
11,7,-10426,0,97,0
12,0,-4013,8640,-9374,1854
12,1,3326,-821,6562,5264
12,2,9901,680,-8291,-4147
12,3,10994,-7543,4489,-5855
12,4,-5024,11701,-361,-4944
12,5,-3428,1070,14130,-15969
12,6,8013,9589,6629,3913
12,7,11544,-5140,-4116,-3425
13,0,5206,5048,-2168,-2173
13,1,8169,5466,-7177,4080
13,2,-10169,-7139,673,-12544
13,3,5508,8117,-6545,-4026
13,4,-9834,6324,12911,1845
13,5,10075,8353,1189,-1497
13,6,-9029,2402,-16757,-6815
13,7,-7057,4977,2942,8091
14,0,8140,5191,639,4705
14,1,4839,852,12288,-2584
14,2,1012,-11057,-9592,-17842
14,3,-6124,8223,-2840,581
14,4,11812,11721,-8073,-4476
14,5,5288,-3855,-9754,-1597
14,6,9313,2040,-2688,-13
14,7,6335,8551,-1873,8774
