file,module,error
applications\chatbox\qshll_chatbox.py,chatbox.qshll_chatbox,"MNF:No module named 'chatbox'"
applications\simulator\quantum_simulator.py,simulator.quantum_simulator,"MNF:No module named 'simulator'"
applications\desktop\frontend\quantonium_desktop.py,desktop.frontend.quantonium_desktop,"MNF:No module named 'desktop'"
applications\desktop\frontend\quantonium_desktop_new.py,desktop.frontend.quantonium_desktop_new,"MNF:No module named 'desktop'"
applications\desktop\frontend\quantonium_intro.py,desktop.frontend.quantonium_intro,"MNF:No module named 'desktop'"
applications\desktop\frontend\quantonium_intro_fixed.py,desktop.frontend.quantonium_intro_fixed,"MNF:No module named 'desktop'"
applications\desktop\frontend\quantonium_intro_simple.py,desktop.frontend.quantonium_intro_simple,"MNF:No module named 'desktop'"
applications\desktop\frontend\quantonium_os_main.py,desktop.frontend.quantonium_os_main,"MNF:No module named 'desktop'"
applications\tools\tools\process_complexity_results.py,tools.tools.process_complexity_results,"MNF:No module named 'tools.tools'"
core\safety\constitutional_ai_safety.py,safety.constitutional_ai_safety,"MNF:No module named 'numpy'"
core\engine\core\canonical_true_rft.py,engine.core.canonical_true_rft,"MNF:No module named 'numpy'"
core\engine\core\crypto_primitives.py,engine.core.crypto_primitives,"MNF:No module named 'numpy'"
core\engine\core\enhanced_rft_crypto_v2.py,engine.core.enhanced_rft_crypto_v2,"MNF:No module named 'numpy'"
core\engine\core\enhanced_topological_qubit.py,engine.core.enhanced_topological_qubit,"MNF:No module named 'numpy'"
core\engine\core\geometric_hashing.py,engine.core.geometric_hashing,"MNF:No module named 'numpy'"
core\engine\core\geometric_waveform_hash.py,engine.core.geometric_waveform_hash,'Traceback (most recent call last):\n  File "<string>"; line 3; in <module>\n  File "C:\\Users\\mkeln\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\importlib\\__init__.py"; line 90; in import_module\n    return _bootstrap._gcd_import(name[level:]; package; level)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File "<frozen importlib._bootstrap>"; line 1387; in _gcd_import\n  File "<frozen importlib._bootstrap>"; line 1360; in _find_and_load\n  File "<frozen importlib._bootstrap>"; line 1331; in _find_and_load_unlocked\n  File "<frozen importlib._bootstrap>"; line 935; in _load_unlocked\n  File "<frozen importlib._bootstrap_external>"; line 999; in exec_module\n  File "<frozen importlib._bootstrap>"; line 488; in _call_with_frames_removed\n  File "C:\\Users\\mkeln\\quantoniumos\\core\\engine\\core\\geometric_waveform_hash.py"; line 27; in <module>\n    class GeometricWaveformHash:\n  File "C:\\Users\\mkeln\\quantoniumos\\core\\engine\\core\\geometric_waveform_hash.py"; line 77; in GeometricWaveformHash\n    def _bytes_to_signal(self; data: bytes) -> Union[np.ndarray; None]:\n                                                     ^^^^^^^^^^\nAttributeError: \'NoneType\' object has no attribute \'ndarray\''
core\engine\core\quantum_gates.py,engine.core.quantum_gates,"MNF:No module named 'numpy'"
core\engine\core\topological_quantum_kernel.py,engine.core.topological_quantum_kernel,"MNF:No module named 'numpy'"
core\engine\core\working_quantum_kernel.py,engine.core.working_quantum_kernel,"MNF:No module named 'numpy'"
core\models\weights\direct_gpt_oss_120b_processor.py,models.weights.direct_gpt_oss_120b_processor,"MNF:No module named 'numpy'"
core\models\weights\gpt_oss_120b_memory_optimized.py,models.weights.gpt_oss_120b_memory_optimized,"MNF:No module named 'torch'"
core\models\weights\gpt_oss_120b_quantum_integrator.py,models.weights.gpt_oss_120b_quantum_integrator,"MNF:No module named 'torch'"
core\models\weights\gpt_oss_120b_streamlined_integrator.py,models.weights.gpt_oss_120b_streamlined_integrator,"MNF:No module named 'torch'"
core\models\weights\llama2_quantum_integrator.py,models.weights.llama2_quantum_integrator,"MNF:No module named 'torch'"
core\models\weights\open_source_integration.py,models.weights.open_source_integration,"MNF:No module named 'torch'"
core\models\weights\optimized_gpt_oss_120b_processor.py,models.weights.optimized_gpt_oss_120b_processor,"MNF:No module named 'numpy'"
core\models\weights\run_gpt_oss_120b_integration.py,models.weights.run_gpt_oss_120b_integration,"MNF:No module named 'gpt_oss_120b_quantum_integrator'"
core\models\weights\run_gpt_oss_120b_streamlined.py,models.weights.run_gpt_oss_120b_streamlined,"MNF:No module named 'gpt_oss_120b_streamlined_integrator'"
core\models\weights\run_llama2_integration.py,models.weights.run_llama2_integration,"MNF:No module named 'llama2_quantum_integrator'"
core\models\weights\streaming_llama_integrator.py,models.weights.streaming_llama_integrator,"MNF:No module named 'torch'"
core\models\weights\weight_merger.py,models.weights.weight_merger,"MNF:No module named 'numpy'"
core\models\weights\hf_encoded\runwayml_stable-diffusion-v1-5_guided_generator.py,models.weights.hf_encoded.runwayml_stable-diffusion-v1-5_guided_generator,"MNF:No module named 'quantum_encoded_image_generator'"
core\models\weights\organized\load_76k_to_vertices.py,models.weights.organized.load_76k_to_vertices,"MNF:No module named 'numpy'"
core\models\weights\organized\quantonium_76k_unified_access.py,models.weights.organized.quantonium_76k_unified_access,"MNF:No module named 'numpy'"
development\ai\setup_image_generation.py,ai.setup_image_generation,"MNF:No module named 'ai'"
development\analysis\chatbox_model_analysis.py,analysis.chatbox_model_analysis,"MNF:No module named 'analysis'"
development\analysis\get_model_proof.py,analysis.get_model_proof,"MNF:No module named 'analysis'"
development\analysis\master_analyzer.py,analysis.master_analyzer,"MNF:No module named 'analysis'"
development\analysis\verify_compression.py,analysis.verify_compression,"MNF:No module named 'analysis'"
development\experimental\scaling_plan.py,experimental.scaling_plan,"MNF:No module named 'experimental'"
development\training\quantum_frontier_trainer.py,training.quantum_frontier_trainer,"MNF:No module named 'training'"
development\ai\datasets\hf_dataset_converter.py,ai.datasets.hf_dataset_converter,"MNF:No module named 'ai'"
development\ai\datasets\hf_model_integrator.py,ai.datasets.hf_model_integrator,"MNF:No module named 'ai'"
development\ai\datasets\quantum_data_converter.py,ai.datasets.quantum_data_converter,"MNF:No module named 'ai'"
development\ai\datasets\quantum_finetune_config.py,ai.datasets.quantum_finetune_config,"MNF:No module named 'ai'"
